iter	Passed	Remaining
416	2561	3581
417	2567	3575
418	2572	3567
419	2577	3559
420	2583	3553
421	2589	3546
422	2594	3539
423	2600	3532
424	2605	3525
425	2611	3518
426	2617	3512
427	2622	3504
428	2627	3497
429	2633	3491
430	2638	3483
431	2644	3476
432	2649	3470
433	2655	3462
434	2660	3455
435	2666	3449
436	2672	3442
437	2677	3435
438	2683	3428
439	2688	3421
440	2694	3415
441	2699	3408
442	2705	3401
443	2711	3394
444	2716	3387
445	2721	3380
446	2727	3373
447	2732	3367
448	2738	3360
449	2743	3353
450	2749	3347
451	2755	3341
452	2762	3335
453	2767	3328
454	2773	3322
455	2782	3319
456	2791	3316
457	2799	3313
458	2807	3308
459	2814	3303
460	2821	3298
461	2828	3293
462	2833	3286
463	2838	3279
464	2845	3273
465	2850	3266
466	2855	3259
467	2862	3253
468	2867	3246
469	2872	3239
470	2879	3233
471	2884	3226
472	2890	3220
473	2896	3214
474	2901	3207
475	2907	3200
476	2912	3193
477	2918	3187
478	2924	3180
479	2929	3173
480	2935	3167
481	2941	3160
482	2946	3153
483	2951	3146
484	2957	3140
485	2963	3133
486	2968	3126
487	2974	3120
488	2979	3113
489	2984	3106
490	2990	3100
491	2996	3093
492	3001	3086
493	3007	3080
494	3013	3073
495	3018	3067
496	3024	3060
497	3029	3054
498	3034	3046
499	3040	3040
500	3045	3033
501	3051	3026
502	3056	3020
503	3061	3013
504	3067	3007
505	3073	3000
506	3078	2993
507	3084	2987
508	3090	2981
509	3096	2974
510	3101	2967
511	3107	2961
512	3112	2954
513	3118	2948
514	3123	2941
515	3128	2934
516	3134	2928
517	3139	2921
518	3145	2915
519	3151	2908
520	3156	2902
521	3161	2895
522	3167	2888
523	3172	2882
524	3178	2875
525	3183	2868
526	3189	2862
527	3194	2855
528	3200	2849
529	3205	2842
530	3211	2836
531	3217	2830
532	3222	2823
533	3227	2816
534	3233	2810
535	3238	2803
536	3243	2796
537	3249	2790
538	3254	2783
539	3260	2777
540	3265	2770
541	3270	2764
542	3276	2757
543	3281	2750
544	3287	2744
545	3293	2738
546	3300	2733
547	3305	2726
548	3310	2719
549	3316	2713
550	3321	2706
551	3327	2700
552	3333	2694
553	3338	2687
554	3344	2681
555	3349	2675
556	3355	2668
557	3360	2661
558	3366	2655
559	3371	2648
560	3376	2642
561	3382	2636
562	3388	2629
563	3393	2623
564	3399	2617
565	3404	2610
566	3409	2603
567	3415	2597
568	3421	2591
569	3426	2584
570	3432	2578
571	3438	2572
572	3443	2565
573	3449	2560
574	3455	2553
575	3460	2547
576	3466	2541
577	3472	2535
578	3478	2528
579	3483	2522
580	3488	2515
581	3494	2509
582	3500	2503
583	3506	2497
584	3512	2491
585	3517	2485
586	3522	2478
587	3528	2472
588	3534	2466
589	3539	2459
590	3545	2453
591	3551	2447
592	3556	2440
593	3562	2435
594	3568	2429
595	3574	2422
596	3580	2417
597	3585	2410
598	3591	2404
599	3597	2398
600	3602	2391
601	3608	2385
602	3613	2379
603	3619	2372
604	3624	2366
605	3630	2360
606	3635	2354
607	3641	2347
608	3646	2341
609	3652	2335
610	3658	2329
611	3663	2322
612	3669	2316
613	3674	2310
614	3680	2303
615	3685	2297
616	3690	2291
617	3696	2284
618	3701	2278
619	3707	2272
620	3713	2266
621	3718	2259
622	3724	2253
623	3730	2247
624	3735	2241
625	3741	2235
626	3746	2229
627	3752	2222
628	3758	2216
629	3764	2210
630	3769	2204
631	3775	2198
632	3780	2192
633	3786	2185
634	3791	2179
635	3796	2173
636	3802	2166
637	3808	2160
638	3813	2154
639	3819	2148
640	3824	2142
641	3829	2135
642	3835	2129
643	3840	2123
644	3846	2116
645	3851	2110
646	3857	2104
647	3862	2098
648	3868	2092
649	3873	2085
650	3879	2079
651	3884	2073
652	3890	2067
653	3895	2061
654	3901	2054
655	3906	2048
656	3911	2042
657	3917	2035
658	3923	2030
659	3928	2023
660	3933	2017
661	3939	2011
662	3944	2004
663	3949	1998
664	3955	1992
665	3960	1986
666	3965	1979
667	3971	1973
668	3976	1967
669	3981	1961
670	3987	1955
671	3992	1948
672	3997	1942
673	4003	1936
674	4009	1930
675	4015	1924
676	4021	1918
677	4027	1912
678	4033	1906
679	4039	1900
680	4044	1894
681	4050	1888
682	4056	1882
683	4061	1876
684	4067	1870
685	4073	1864
686	4078	1858
687	4084	1852
688	4090	1846
689	4095	1840
690	4101	1834
691	4106	1827
692	4112	1821
693	4118	1815
694	4124	1809
695	4129	1803
696	4135	1797
697	4141	1791
698	4146	1785
699	4152	1779
700	4157	1773
701	4163	1767
702	4168	1761
703	4174	1754
704	4180	1749
705	4185	1742
706	4190	1736
707	4196	1730
708	4202	1724
709	4207	1718
710	4213	1712
711	4219	1706
712	4224	1700
713	4230	1694
714	4236	1688
715	4241	1682
716	4247	1676
717	4253	1670
718	4258	1664
719	4264	1658
720	4269	1652
721	4275	1646
722	4282	1640
723	4287	1634
724	4292	1628
725	4298	1622
726	4303	1616
727	4309	1610
728	4314	1603
729	4320	1597
730	4325	1591
731	4330	1585
732	4336	1579
733	4341	1573
734	4347	1567
735	4352	1561
736	4358	1555
737	4363	1549
738	4368	1542
739	4374	1536
740	4379	1530
741	4385	1524
742	4390	1518
743	4396	1512
744	4401	1506
745	4406	1500
746	4412	1494
747	4417	1488
748	4423	1482
749	4429	1476
750	4434	1470
751	4440	1464
752	4445	1458
753	4450	1452
754	4456	1446
755	4461	1440
756	4467	1433
757	4472	1427
758	4478	1421
759	4483	1415
760	4489	1409
761	4494	1403
762	4500	1397
763	4505	1391
764	4510	1385
765	4516	1379
766	4522	1373
767	4527	1367
768	4532	1361
769	4538	1355
770	4544	1349
771	4549	1343
772	4555	1337
773	4560	1331
774	4565	1325
775	4571	1319
776	4576	1313
777	4582	1307
778	4587	1301
779	4592	1295
780	4598	1289
781	4603	1283
782	4609	1277
783	4614	1271
784	4619	1265
785	4625	1259
786	4630	1253
787	4635	1247
788	4641	1241
789	4646	1235
790	4651	1229
791	4657	1223
792	4662	1217
793	4668	1211
794	4674	1205
795	4679	1199
796	4685	1193
797	4690	1187
798	4695	1181
799	4702	1175
800	4707	1169
801	4712	1163
802	4718	1157
803	4723	1151
804	4729	1145
805	4735	1139
806	4740	1133
807	4746	1127
808	4751	1121
809	4757	1115
810	4762	1109
811	4768	1103
812	4773	1097
813	4778	1091
814	4784	1086
815	4789	1080
816	4795	1074
817	4800	1068
818	4806	1062
819	4811	1056
820	4817	1050
821	4822	1044
822	4828	1038
823	4834	1032
824	4840	1026
825	4845	1020
826	4851	1014
827	4857	1009
828	4863	1003
829	4869	997
830	4874	991
831	4879	985
832	4885	979
833	4890	973
834	4896	967
835	4902	961
836	4907	955
837	4913	949
838	4919	944
839	4925	938
840	4930	932
841	4936	926
842	4941	920
843	4947	914
844	4952	908
845	4958	902
846	4963	896
847	4968	890
848	4974	884
849	4979	878
850	4984	872
851	4990	866
852	4995	860
853	5001	855
854	5006	849
855	5012	843
856	5017	837
857	5022	831
858	5028	825
859	5033	819
860	5039	813
861	5044	807
862	5050	801
863	5055	795
864	5061	789
865	5067	784
866	5072	778
867	5078	772
868	5083	766
869	5088	760
870	5094	754
871	5099	748
872	5105	742
873	5110	736
874	5115	730
875	5121	724
876	5126	719
877	5132	713
878	5137	707
879	5143	701
880	5148	695
881	5153	689
882	5160	683
883	5165	677
884	5170	671
885	5176	666
886	5181	660
887	5186	654
888	5192	648
889	5197	642
890	5203	636
891	5208	630
892	5213	624
893	5219	618
894	5224	612
895	5230	607
896	5235	601
897	5241	595
898	5246	589
899	5252	583
900	5257	577
901	5263	571
902	5268	565
903	5274	560
904	5279	554
905	5285	548
906	5291	542
907	5296	536
908	5301	530
909	5307	524
910	5313	519
911	5318	513
912	5324	507
913	5329	501
914	5335	495
915	5340	489
916	5346	483
917	5351	478
918	5357	472
919	5362	466
920	5367	460
921	5374	454
922	5379	448
923	5384	442
924	5390	437
925	5395	431
926	5401	425
927	5406	419
928	5411	413
929	5417	407
930	5422	401
931	5428	396
932	5433	390
933	5439	384
934	5444	378
935	5449	372
936	5455	366
937	5460	360
938	5466	355
939	5472	349
940	5477	343
941	5483	337
942	5488	331
943	5494	325
944	5499	320
945	5505	314
946	5510	308
947	5516	302
948	5521	296
949	5526	290
950	5532	285
951	5537	279
952	5543	273
953	5548	267
954	5554	261
955	5559	255
956	5565	250
957	5571	244
958	5576	238
959	5581	232
960	5587	226
961	5592	220
962	5598	215
963	5603	209
964	5608	203
965	5614	197
966	5619	191
967	5625	185
968	5630	180
969	5636	174
970	5641	168
971	5647	162
972	5652	156
973	5657	151
974	5663	145
975	5668	139
976	5673	133
977	5679	127
978	5685	121
979	5690	116
980	5696	110
981	5701	104
982	5707	98
983	5712	92
984	5718	87
985	5724	81
986	5730	75
987	5735	69
988	5740	63
989	5746	58
990	5751	52
991	5757	46
992	5762	40
993	5768	34
994	5773	29
995	5779	23
996	5784	17
997	5789	11
998	5795	5
999	5801	0
